t;RKN
0,00;0
0,10;0,0297388299869553
0,20;0,117429842427996
0,30;0,259736073187171
0,40;0,451999058432765
0,50;0,688359802387021
0,60;0,961907160360868
0,70;1,26485012950385
0,80;1,58871000349584
0,90;1,92452790373001
1,00;2,26308285829203
1,10;2,59511536881926
1,20;2,91155128923097
1,30;3,20372084186331
1,40;3,46356771557439
1,50;3,68384342410888
1,60;3,85828244604855
1,70;3,98175411218059
1,80;4,0503877419633
1,90;4,06166814577351
2,00;4,01449928981875
2,10;3,90923465055945
2,20;3,7476735486654
2,30;3,53302353163508
2,40;3,26982965159029
2,50;2,96387224281952
2,60;2,62203552521862
2,70;2,25215002853118
2,80;1,86281243308136
2,90;1,46318694191356
3,00;1,0627927251425
3,10;0,67128230021769
3,20;0,298215924385897
3,30;-0,047162826946712
3,40;-0,356145142238371
3,50;-0,6207636994915
3,60;-0,833983269792757
3,70;-0,989870792181177
3,80;-1,08374097283886
3,90;-1,11227401105747
4,00;-1,07360268146162
4,10;-0,967366692450134
4,20;-0,794732979193652
4,30;-0,558381359163254
4,40;-0,262455761705897
4,50;0,0875179770435481
4,60;0,484746004215379
4,70;0,921309555605843
4,80;1,38833414164505
4,90;1,87618108378577
5,00;2,37465715907679
5,10;2,87323769348074
5,20;3,36129813165978
5,30;3,82834890962203
5,40;4,26426837142904
5,50;4,65952850413464
5,60;5,0054084156234
5,70;5,29419074476743
5,80;5,5193365664758
5,90;5,67563482748386
6,00;5,75932291157927
6,10;5,76817557282538
6,20;5,70156017792337
6,30;5,56045694843705
6,40;5,34744367340847
6,50;5,06664515545162
6,60;4,72364844096219
6,70;4,32538564996291
6,80;3,87998694615575
6,90;3,39660685669802
7,00;2,88522774903333
7,10;2,35644478535306
7,20;1,8212370923926
7,30;1,29073019588071
7,40;0,775954968025316
7,50;0,287608418418185
7,60;-0,164178378219579
7,70;-0,570060079177851
7,80;-0,921679727427172
7,90;-1,21184977215433
8,00;-1,43470744553788
8,10;-1,58584105383893
8,20;-1,66238438655408
8,30;-1,6630771556015
8,40;-1,58829013146195
8,50;-1,44001442800411
8,60;-1,22181518484143
8,70;-0,938750687675026
8,80;-0,597258735473114
8,90;-0,205012791338975
9,00;0,229248874751897
9,10;0,695917243520039
9,20;1,18472548187487
9,30;1,68497601598575
9,40;2,18577668954569
9,50;2,67628075569388
9,60;3,14592536924113
9,70;3,5846632831539
9,80;3,98318260883674
9,90;4,33310977009933
10,00;4,62719115972245
10,10;4,85944948673275
10,20;5,02531137110243
10,30;5,1217033878485
10,40;5,14711446994431
10,50;5,10162333320949
10,60;4,98689036951645
10,70;4,80611424968849
10,80;4,56395426655172
10,90;4,26642021406425
11,00;3,92073232313956
11,10;3,53515444248229
11,20;3,11880424852564
11,30;2,68144477907454
11,40;2,23326199911363
11,50;1,78463341519742
11,60;1,34589295004567
11,70;0,927097367096201
11,80;0,537799494123559
11,90;0,18683333658514
12,00;-0,117884101279195
12,10;-0,369529850217284
12,20;-0,562526907291917
12,30;-0,692667676103666
12,40;-0,757206171672515
12,50;-0,754916951428623
12,60;-0,686119484829492
12,70;-0,552667453670543
12,80;-0,35790326565669
12,90;-0,106578847481281
13,00;0,195255457098872
13,10;0,540391340958176
13,20;0,92062913570736
13,30;1,32696677116937
13,40;1,74980679914327
13,50;2,17917678323183
13,60;2,60495805735197
13,70;3,01711766907488
13,80;3,40593825431887
13,90;3,76224063867842
14,00;4,0775941266926
14,10;4,34450971987189
14,20;4,55661189100153
14,30;4,70878502739731
14,40;4,79729122847172
14,50;4,81985679026981
14,60;4,77572541697598
14,70;4,66567695084606
14,80;4,49201119066397
14,90;4,25849715712881
15,00;3,97028894380125
15,10;3,63381004681282
15,20;3,25660877848395
15,30;2,84718802327863
15,40;2,41481317443985
15,50;1,96930258314265
15,60;1,52080524795931
15,70;1,07957076193349
15,80;0,655716711082401
15,90;0,258998777703663
16,00;-0,10141125689777
16,10;-0,417134591420408
16,20;-0,680776835319606
16,30;-0,886097456747514
16,40;-1,02815340627599
16,50;-1,10341365478727
16,60;-1,10984203731528
16,70;-1,04694650694515
16,80;-0,91579365812027
16,90;-0,718988159888593
17,00;-0,460617529180375
17,10;-0,146163454396054
17,20;0,217618367150041
17,30;0,622847204978681
17,40;1,06069176185075
17,50;1,52156623314414
17,60;1,99534357375515
17,70;2,47158119768337
17,80;2,93975405321113
17,90;3,38948984785696
18,00;3,81080114588857
18,10;4,19430912830925
18,20;4,53145398940616
18,30;4,81468724106271
18,40;5,03764159944608
18,50;5,19527462935164
18,60;5,28398290820072
18,70;5,30168413129196
18,80;5,24786529760869
18,90;5,12359587518499
19,00;4,93150562968634
19,10;4,6757275918597
19,20;4,3618074210756
19,30;3,99658117577917
19,40;3,58802421036695
19,50;3,1450745659012
19,60;2,67743479461121
19,70;2,19535664245192
19,80;1,70941339921249
19,90;1,23026500313107
20,00;0,768421150437466
20,10;0,334007706027581
20,20;-0,0634583614682737
20,30;-0,415280487006453
20,40;-0,713775728520968
20,50;-0,952445377031854
20,60;-1,1261191419905
20,70;-1,23106968781958
20,80;-1,26509496134899
20,90;-1,22756647101551
21,00;-1,1194424411092
21,10;-0,943245550916131
21,20;-0,703005761681726
21,30;-0,40416951611505
21,40;-0,0534773481354527
21,50;0,341187352159588
21,60;0,770975027616716
21,70;1,22626813689013
21,80;1,69689638986247
21,90;2,17236421321232
22,00;2,64208535064501
22,10;3,09561934350536
22,20;3,52290459652261
22,30;3,91448281121031
22,40;4,26170976420282
22,50;4,55694771517746
22,60;4,7937351420801
22,70;4,96693001086516
22,80;5,07282338143665
22,90;5,10922081758754
23,00;5,07548979152522
23,10;4,97257203681512
23,20;4,80296059014038
23,30;4,5706420545066
23,40;4,28100539663799
23,50;3,94071934180542
23,60;3,55758113335848
23,70;3,14034006600484
23,80;2,69849976699425
23,90;2,24210367514569
24,00;1,78150854343572
24,10;1,32715105822251
24,20;0,889312821124041
24,30;0,477888974685092
24,40;0,102165669481734
24,50;-0,229388629883389
24,60;-0,50931331483513
24,70;-0,731323011430329
24,80;-0,890448413349828
24,90;-0,983147412684699
25,00;-1,0073840402938
25,10;-0,962673451659579
25,20;-0,850091957825199
25,30;-0,672251887000141
25,40;-0,433241853113105
25,50;-0,138533785208253
25,60;0,205141181345713
25,70;0,589945151114547
25,80;1,0071108148976
25,90;1,44713969927033
26,00;1,9000168531056
26,10;2,35543713578322
26,20;2,8030380114965
26,30;3,23263360833004
26,40;3,63444477288119
26,50;3,99931994174727
26,60;4,31894185816076
26,70;4,5860154807667
26,80;4,7944328548343
26,90;4,93941123455973
27,00;5,01760134689733
27,10;5,02716335902581
27,20;4,96780883801666
27,30;4,84080775619939
27,40;4,64896038191841
27,50;4,39653468518374
27,60;4,0891706633805
27,70;3,73375373629009
27,80;3,33826005546697
27,90;2,9115772048717
28,00;2,46330432338364
28,10;2,00353614296014
28,20;1,54263579836341
28,30;1,09100151740021
28,40;0,658832438824269
28,50;0,255898825326128
28,60;-0,108678159078938
28,70;-0,426632152259403
28,80;-0,690738148451521
28,90;-0,894975704451136
29,00;-1,03466512211574
29,10;-1,10657353859497
29,20;-1,10898853153986
29,30;-1,04175757620937
29,40;-0,906292458507722
29,50;-0,705538535315015
29,60;-0,443909523330762
29,70;-0,127189272290501
29,80;0,237597279563328
29,90;0,642341077144942
30,00;1,07803032883741
30,10;1,5349522280577
30,20;2,00291049106878
30,30;2,47145383000913
30,40;2,93011023367603
30,50;3,36862179729862
30,60;3,77717482932798
30,70;4,14662006845889
30,80;4,46867806532917
30,90;4,73612511565663
31,00;4,94295556751625
31,10;5,08451685524878
31,20;5,15761422423523
31,30;5,1605827907387
31,40;5,09332531394052
31,50;4,95731482672814
31,60;4,75556206045121
31,70;4,49254838904452
31,80;4,17412579187677
31,90;3,80738607504605
32,00;3,40050228097976
32,10;2,96254584061111
32,20;2,50328356707305
32,30;2,03295904254229
32,40;1,5620633004107
32,50;1,10109994548753
32,60;0,660349980036333
32,70;0,249641610314682
32,80;-0,121869803246973
32,90;-0,445906716516786
33,00;-0,715254695291506
33,10;-0,923923876013303
33,20;-1,06728297221633
33,30;-1,14216282135205
33,40;-1,14692715011245
33,50;-1,08150897196075
33,60;-0,94741180177816
33,70;-0,747675662027704
33,80;-0,486808644900892
33,90;-0,170685567810677
34,00;0,193584002024323
34,10;0,597815390871913
34,20;1,03293254585728
34,30;1,48917172230874
34,40;1,95630055925467
34,50;2,42384762616606
34,60;2,88133728933996
34,70;3,31852462726959
34,80;3,72562512361844
34,90;4,09353398402016
35,00;4,41403015622201
35,10;4,67996047683436
35,20;4,8853998144232
35,30;5,02578361785752
35,40;5,09800989859206
35,50;5,10050836200834
35,60;5,03327514064031
35,70;4,89787235450714
35,80;4,69739251352355
35,90;4,43638856632096
36,00;4,12077117106899
36,10;3,75767549971709
36,20;3,35530057096006
36,30;2,92272472381364
36,40;2,46970137912523
36,50;2,00643967861826
36,60;1,54337493025101
36,70;1,09093401714696
36,80;0,659301039999297
36,90;0,258188457141594
37,00;-0,103381137457771
37,10;-0,417277697389153
37,20;-0,676446316719435
37,30;-0,875065632798397
37,40;-1,00867848280262
37,50;-1,07429188139345
37,60;-1,07044407622909
37,70;-0,997237177785827
37,80;-0,856334633394012
37,90;-0,650923605208296
38,00;-0,385643100269084
38,10;-0,0664794701644747
38,20;0,299368369209932
38,30;0,703650967134695
38,40;1,13725397407593
38,50;1,59040321129168
38,60;2,05288456465061
38,70;2,51427376037888
38,80;2,96417085858343
38,90;3,39243419454479
39,00;3,78940851030657
39,10;4,14614214972734
39,20;4,4545884359684
39,30;4,70778670584471
39,40;4,90001893258028
39,50;5,02693841701547
39,60;5,08566765488967
39,70;5,07486318037211
39,80;4,99474592797901
39,90;4,84709642973111
40,00;4,63521495446906
40,10;4,36384748390948
40,20;4,03907918759838
40,30;3,66819778916016
40,40;3,25952989274585
40,50;2,82225394615924
40,60;2,36619404213386
40,70;1,90159918985738
40,80;1,43891301541676
40,90;0,988539065032542
41,00;0,560606983928909
41,10;0,1647448242222
41,20;-0,190137402258929
41,30;-0,496048062698287
41,40;-0,74609363168081
41,50;-0,934633770138163
41,60;-1,05740826925744
41,70;-1,11163300558064
41,80;-1,09606274946275
41,90;-1,01101941348544
42,00;-0,858385103622161
42,10;-0,641560126486078
42,20;-0,365386893109951
42,30;-0,0360414257279727
42,40;0,339105098251259
42,50;0,75165165781864
42,60;1,19235584491513
42,70;1,65134123539617
42,80;2,11831901885052
42,90;2,58281891126022
43,00;3,03442416577699
43,10;3,46300540461008
43,20;3,85894802124816
43,30;4,21336804638446
43,40;4,51831162974767
43,50;4,76693365774883
43,60;4,95365149518192
43,70;5,07427039764761
43,80;5,12607777736616
43,90;5,10790420432608
44,00;5,02014977157713
44,10;4,86477523114798
44,20;4,64525809808744
44,30;4,36651470672994
44,40;4,03478996780655
44,50;3,65751730029345
44,60;3,24315188162346
44,70;2,80098095904195
44,80;2,34091548001089
44,90;1,87326771908536
45,00;1,40851989318368
45,10;0,957088959581959
45,20;0,529092876739835
45,30;0,13412357527959
45,40;-0,218968264169365
45,50;-0,522271794603255
45,60;-0,768993489644246
45,70;-0,9536095494518
45,80;-1,07198980421172
45,90;-1,12149033381764
46,00;-1,10101272476285
46,10;-1,01102863434546
46,20;-0,85356911123672
46,30;-0,632178912778241
46,40;-0,351836845290521
46,50;-0,0188439165434502
46,60;0,359318187770378
46,70;0,77415512543569
46,80;1,2163506439493
46,90;1,67597576836375
47,00;2,1427117335103
47,10;2,60608165484773
47,20;3,05568573606735
47,30;3,48143473227837
47,40;3,87377642688313
47,50;4,22391003724405
47,60;4,52398373541799
47,70;4,76727084949845
47,80;4,94832078994352
47,90;5,06308131292413
48,00;5,10898937645467
48,10;5,08502855040963
48,20;4,99175169264515
48,30;4,8312683834662
48,40;4,60719740209017
48,50;4,32458531378438
48,60;3,98979299736858
48,70;3,61035266268428
48,80;3,19479857027443
48,90;2,75247525600828
49,00;2,29332756846844
49,10;1,82767723524723
49,20;1,36599097670939
49,30;0,918645375477177
49,40;0,495693782623588
49,50;0,106640495687408
49,60;-0,239772719818124
49,70;-0,535762971071408
49,80;-0,774681031460164
49,90;-0,951160661656736
50,00;-1,06123910513543
50,10;-1,10244605249294
50,20;-1,07385907716586
50,30;-0,976124298221836
50,40;-0,81144180692052
50,50;-0,583516185154834
50,60;-0,29747322791985
50,70;0,0402552589941095
50,80;0,422075997871711
50,90;0,839404867414906
51,00;1,28285978752104
51,10;1,74247152760886
51,20;2,20790770307133
51,30;2,66870492825997
51,40;3,11450391124056
51,50;3,5352822095185
51,60;3,92157941849599
51,70;4,26470973441177
51,80;4,55695711710915
51,90;4,79174866880963
52,00;4,96380233436021
52,10;5,06924560518224
52,20;5,10570256042578
52,30;5,07234728999778
52,40;4,96992249921377
52,50;4,80072287686157
52,60;4,56854359989895
52,70;4,2785951310598
52,80;3,93738622272818
52,90;3,55257775455452
53,00;3,13281068739266
53,10;2,68751199751985
53,20;2,22668294970415
53,30;1,76067446439872
53,40;1,29995462425839
53,50;0,854873541780159
53,60;0,43543086919884
53,70;0,0510511724883961
53,80;-0,28962778523919
53,90;-0,578949095519276
54,00;-0,810408732763409
54,10;-0,978801694764765
54,20;-1,08033897267623
54,30;-1,11273272275316
54,40;-1,07524772626975
54,50;-0,968717981118218
54,60;-0,795528051680222
54,70;-0,559559595034286
54,80;-0,266104263655204
54,90;0,0782550600918986
55,00;0,465792031119325
55,10;0,887810292540818
55,20;1,33483871559203
55,30;1,79684404439668
55,40;2,26345617049115
55,50;2,72420097831896
55,60;3,16873553281166
55,70;3,58708032750575
55,80;3,96984337758925
55,90;4,30843112534639
56,00;4,59524142156356
56,10;4,82383424892595
56,20;4,98907635323343
56,30;5,08725653417284
56,40;5,11616900624458
56,50;5,07516295745765
56,60;4,96515719247737
56,70;4,78861953098707
56,80;4,54951142350097
56,90;4,25319902796585
57,00;3,90633274367185
57,10;3,51669790734435
57,20;3,09304000389992
57,30;2,6448683166779
57,40;2,18224242614981
57,50;1,71554635128998
57,60;1,25525540531003
57,70;0,811701001086029
57,80;0,394838687664568
57,90;0,0140246266884077
58,00;-0,322194471937322
58,10;-0,606273238055474
58,20;-0,831837044029849
58,30;-0,993825118300711
58,40;-1,08860415610219
58,50;-1,11404987624811
58,60;-1,06959469270934
58,70;-0,956240430646729
58,80;-0,776535801540249
58,90;-0,534519143439219
59,00;-0,235627712377546
59,10;0,113424437864626
59,20;0,504797245084458
59,30;0,929700710700993
59,40;1,37859230040986
59,50;1,84139124038949
59,60;2,30770489660717
59,70;2,76706215345484
59,80;3,20914855079362
59,90;3,62403789903148
60,00;4,00241517098649
60,10;4,33578566522035
60,20;4,61666574386452
60,30;4,83875086177785
60,40;4,99705711387811
60,50;5,08803312222534
60,60;5,1096397505469
60,70;5,0613958564225
60,80;4,94438905406636
60,90;4,76125124642379
61,00;4,51609947649412
61,10;4,21444342663323
61,20;3,86306164358493
61,30;3,46984926932205
61,40;3,04364069767127
61,50;2,59401113978107
61,60;2,13106155512422
61,70;1,66519177826825
61,80;1,20686693671065
61,90;0,766382405708823
62,00;0,35363257885385
62,10;-0,0221113525931892
62,20;-0,352409620938583
62,30;-0,629843427637516
62,40;-0,848181556442176
62,50;-1,002520312388
62,60;-1,08939364396878
62,70;-1,1068509755061
62,80;-1,05450100190987
62,90;-0,933520462467531
63,00;-0,746627696822624
63,10;-0,498021577244159
63,20;-0,193287188884365
63,30;0,160729623489947
63,40;0,556076024599059
63,50;0,983870819966062
63,60;1,434503937466
63,70;1,89785227886985
63,80;2,36350709350655
63,90;2,82100776740407
64,00;3,26007677719563
64,10;3,67085053192498
64,20;4,04410091824245
64,30;4,37144257327695
64,40;4,64552123000901
64,50;4,86017890505731
64,60;5,01059221887986
64,70;5,09338074179944
64,80;5,10668293244122
64,90;5,05019796299906
65,00;4,92519249188026
65,10;4,73447223151157
65,20;4,4823189497403
65,30;4,17439431957908
65,40;3,8176127765845
65,50;3,41998623920896
65,60;2,99044417938863
65,70;2,53863308423705
65,80;2,0746998125703
65,90;1,60906371170092
66,00;1,15218261238051
66,10;0,714317957275386
66,20;0,305304337837865
66,30;-0,0656713845499649
66,40;-0,390276412510023
66,50;-0,66121916766409
66,60;-0,872413063383016
66,70;-1,01911321708682
66,80;-1,09802303160641
66,90;-1,10736825178961
67,00;-1,04693683296871
67,10;-0,918083725699311
67,20;-0,723700469088301
67,30;-0,468150275357188
67,40;-0,157170063286959
67,50;0,202258359543315
67,60;0,60206507294907
67,70;1,03327325809004
67,80;1,48620077966951
67,90;1,95067760943247
68,00;2,41627420823395
68,10;2,87253573782459
68,20;3,30921684255934
68,30;3,71651172841639
68,40;4,08527437230571
68,50;4,40722391627979
68,60;4,67513063395351
68,70;4,88297829272754
68,80;5,02609926548911
68,90;5,1012793574337
69,00;5,106829993766
69,10;5,04262614702603
