t;Euler;RK2;RK4;Real
0,00;1;1;1;1
0,01;1;0,9999;0,999900009998917;0,999900009999
0,02;0,9998;0,999600139965006;0,999600159935692;0,999600159936026
0,03;0,999400159984;0,999100779409389;0,999100809270907;0,999100809271656
0,04;0,998800879576134;0,998402516315001;0,998402555909216;0,998402555910543
0,05;0,998002797018501;0,997506185343076;0,997506234411899;0,997506234413965
0,06;0,997006787435644;0,996412855344899;0,996412913508398;0,996412913511359
0,07;0,995813960394613;0,995123826185065;0,995123892920662;0,995123892924669
0,08;0,994425656773409;0,993640624894898;0,993640699517854;0,993640699523052
0,09;0,99284344495445;0,991965001177173;0,991965082822556;0,991965082829084
0,10;0,99106911636331;0,9900989222867;0,990099009893;0,99009900990099
0,11;0,989104680376492;0,988044567314487;0,988044659609041;0,988044659618615
0,12;0,986952358625258;0,985804320906167;0,985804416392514;0,985804416403785
0,13;0,984614578725588;0,983380766448036;0,983380863395325;0,983380863408398
0,14;0,982093967467126;0,980776678756456;0,980776775190995;0,980776775205963
0,15;0,979393343496507;0,977995016308503;0,977995110007504;0,97799511002445
0,16;0,976515709532652;0,975038913053494;0,975039001541067;0,975039001560062
0,17;0,973464244153567;0,971911669846546;0,971911750391958;0,971911750413063
0,18;0,970242293195772;0,968616745546457;0,968616815164651;0,968616815187912
0,19;0,966853360808751;0,965157747821047;0,965157803275386;0,96515780330084
0,20;0,963301100207784;0,961538423703587;0,961538461510792;0,961538461538461
0,21;0,959589304169138;0,957762649944174;0,957762666381367;0,957762666411263
0,22;0,955721895311899;0,953834423199772;0,953834414313549;0,95383441434567
0,23;0,951702916210714;0,949757850106251;0,94975781172367;0,949757811758002
0,24;0,947536519383383;0,945537137275064;0,945537065016434;0,94553706505295
0,25;0,94322695719667;0,941176581256246;0,941176470549574;0,941176470588235
0,26;0,938778571732758;0,936680558508229;0,936680404605177;0,936680404645935
0,27;0,934195784657686;0,932053515413532;0,932053313406738;0,932053313449529
0,28;0,929483087131696;0,927299958377766;0,927299703219342;0,927299703264095
0,29;0,924645029799819;0,922424444047572;0,922424130568626;0,922424130615257
0,30;0,919686212899244;0,917431569681135;0,917431192612134;0,91743119266055
